round_client_num	elapsed_time
1	1993.271677129902
2	2066.7025013708044
4	1975.3328770399094
8	1890.7410823300015
16	1860.5397952138446
32	1838.410326516023
64	6305.936948799994
128	16544.098322210135
256	33954.73308670195
