total_client_num	elapsed_time
4	290.46009266376495
8	333.5838231118396
16	449.14066246245056
32	681.0616444852203
64	1058.5662776920944
128	1887.7835977617651
256	3089.3137158630416
512	4610.7341542495415
1024	4982.515064718202
2048	5035.547474858351
4096	5157.943536254577
