total_client_num	elapsed_time
4	1492.2225099820062
8	1525.7358729830012
16	1546.227508270007
32	1579.7398215429857
64	1635.7599916189793
128	1767.9384939839947
256	1997.1747391400277
512	2277.852369656961
1024	2337.287130184006
2048	2361.882352047018
4096	2389.4636821390013
