total_client_num	elapsed_time
32	1645.3273676950485
64	1665.566048768349
128	1721.1180266770534
256	1834.6370131699368
512	2108.0094383209944
1024	2665.6946943849325
2048	3913.2464095209725
4096	6355.295903035905
